Time(s),X(m),Y(m),Z(m),Pitch(deg),Roll(deg),Yaw(deg)
31.96,124.75,-3.46,-7.46,-5.00,0.00,-53.00
32.07,123.76,-4.16,-7.46,-5.00,0.00,-57.00
32.18,123.22,-4.51,-7.46,-5.00,0.00,-57.00
32.29,122.98,-4.67,-7.46,-7.00,0.00,-57.00
32.40,122.47,-5.00,-7.46,-11.00,0.00,-57.00
32.51,122.47,-5.00,-7.46,-14.00,0.00,-55.00
32.62,123.44,-4.28,-7.46,-17.00,0.00,-51.00
32.73,124.36,-3.50,-7.46,-17.00,0.00,-47.00
32.83,125.00,-2.88,-7.46,-17.00,0.00,-44.00
32.94,125.82,-1.99,-7.46,-17.00,0.00,-40.00
33.05,126.38,-1.29,-7.46,-15.00,0.00,-37.00
33.16,127.09,-0.31,-7.46,-13.00,0.00,-34.00
33.27,127.24,-0.07,-7.46,-9.00,0.00,-34.00
33.37,127.24,-0.07,-7.46,-8.00,0.00,-34.00
33.48,127.24,-0.07,-7.46,-8.00,0.00,-34.00
33.59,127.24,-0.07,-7.46,-8.00,0.00,-34.00
33.70,127.24,-0.07,-7.46,-8.00,0.00,-30.00
33.81,127.24,-0.07,-7.46,-6.00,0.00,-28.00
33.92,127.24,-0.07,-7.46,-3.00,0.00,-27.00
34.03,128.26,-0.56,-7.43,1.00,0.00,-23.00
34.14,129.09,-0.89,-7.45,1.00,0.00,-19.00
34.24,129.09,-0.89,-7.45,1.00,0.00,-15.00
34.35,129.09,-0.89,-7.45,1.00,0.00,-12.00
34.46,129.09,-0.89,-7.45,1.00,0.00,-10.00
34.57,129.09,-0.89,-7.45,1.00,0.00,-9.00
34.68,129.09,-0.89,-7.45,1.00,0.00,-5.00
34.79,129.09,-0.89,-7.45,1.00,0.00,-1.00
34.90,129.09,-0.89,-7.45,1.00,0.00,3.00
35.01,129.09,-0.89,-7.45,1.00,0.00,7.00
35.12,129.09,-0.89,-7.45,1.00,0.00,11.00
35.23,129.09,-0.89,-7.45,1.00,0.00,15.00
35.34,129.09,-0.89,-7.45,1.00,0.00,19.00
35.45,129.09,-0.89,-7.45,1.00,0.00,23.00
35.56,129.09,-0.89,-7.45,1.00,0.00,24.00
35.67,129.09,-0.89,-7.45,1.00,0.00,24.00
35.77,129.09,-0.89,-7.45,1.00,0.00,24.00
35.89,129.09,-0.89,-7.45,1.00,0.00,24.00
35.99,129.09,-0.89,-7.45,1.00,0.00,24.00
36.10,129.09,-0.89,-7.45,1.00,0.00,24.00
36.21,129.09,-0.89,-7.45,1.00,0.00,24.00
36.32,129.09,-0.89,-7.45,1.00,0.00,24.00
36.43,129.09,-0.89,-7.45,1.00,0.00,24.00
36.54,129.09,-0.89,-7.45,1.00,0.00,24.00
36.65,129.09,-0.89,-7.45,1.00,0.00,24.00
36.76,129.09,-0.89,-7.45,1.00,0.00,24.00
36.86,129.09,-0.89,-7.45,1.00,0.00,24.00
36.97,129.09,-0.89,-7.45,1.00,0.00,24.00
37.08,129.09,-0.89,-7.45,1.00,0.00,24.00
37.19,129.09,-0.89,-7.45,1.00,0.00,24.00
37.30,129.09,-0.89,-7.45,1.00,0.00,24.00
37.40,129.09,-0.89,-7.45,1.00,0.00,24.00
37.51,129.09,-0.89,-7.45,1.00,0.00,24.00
37.62,129.09,-0.89,-7.45,1.00,0.00,24.00
37.73,129.09,-0.89,-7.45,1.00,0.00,24.00
37.84,129.09,-0.89,-7.45,1.00,0.00,24.00
37.95,129.09,-0.89,-7.45,1.00,0.00,24.00
38.05,129.09,-0.89,-7.45,1.00,0.00,24.00
38.16,129.09,-0.89,-7.45,1.00,0.00,24.00
38.28,129.09,-0.89,-7.45,1.00,0.00,24.00
38.38,129.09,-0.89,-7.45,1.00,0.00,24.00
38.49,129.09,-0.89,-7.45,1.00,0.00,24.00
38.60,129.09,-0.89,-7.45,1.00,0.00,24.00
38.71,129.09,-0.89,-7.45,1.00,0.00,24.00
38.82,129.09,-0.89,-7.45,1.00,0.00,24.00
38.93,129.09,-0.89,-7.45,1.00,0.00,24.00
39.03,129.09,-0.89,-7.45,1.00,0.00,24.00
39.14,129.09,-0.89,-7.45,1.00,0.00,24.00
39.25,129.09,-0.89,-7.45,1.00,0.00,24.00
39.36,129.09,-0.89,-7.45,1.00,0.00,24.00
39.47,129.09,-0.89,-7.45,1.00,0.00,24.00
39.58,129.09,-0.89,-7.45,1.00,0.00,24.00
39.68,129.09,-0.89,-7.45,1.00,0.00,24.00
39.79,129.09,-0.89,-7.45,1.00,0.00,24.00
39.90,129.09,-0.89,-7.45,1.00,0.00,24.00
40.01,129.09,-0.89,-7.45,1.00,0.00,24.00
40.12,129.09,-0.89,-7.45,1.00,0.00,24.00
40.23,129.09,-0.89,-7.45,1.00,0.00,24.00
40.34,129.09,-0.89,-7.45,1.00,0.00,24.00
40.45,129.09,-0.89,-7.45,1.00,0.00,24.00
